ax, ay, bx, by, cx, cy, Цвет заливки, Цвет границы
28, -90, 31, -86, 34, -85, Pale green, Golden rod
46, 34, 41, 45, 44, 43, Royal blue, Dark orange
47, -4, 40, -7, 46, -5, Aqua, Medium turquoise
-1, 71, -5, 65, -10, 68, Orchid, Medium violet red
56, -20, 65, -21, 59, -12, Light slate gray, Peru
6, -72, 14, -73, 14, -79, Pale violet red, Deep pink
-74, 19, -69, 27, -72, 24, Medium turquoise, Dark slate gray
-20, -79, -20, -85, -25, -88, Red, Firebrick
-14, 51, -23, 46, -19, 51, Dark sea green, Medium aqua marine
65, 20, 66, 17, 72, 23, Dodger blue, Medium blue
-39, 99, -23, 100, -28, 100, Light coral, Light steel blue
-64, -30, -70, -39, -71, -36, Salmon, Violet
-67, -75, -72, -79, -67, -78, Golden rod, Papaya whip
29, 35, 36, 36, 29, 33, Medium aqua marine, Magenta
-66, -59, -59, -57, -63, -63, Chart reuse, Blanched almond
43, 60, 33, 51, 32, 47, Burly wood, Cyan
-12, -2, -21, -2, -9, -6, Black, Teal
70, -38, 62, -48, 67, -41, Black, Mint cream
-91, 49, -89, 47, -97, 46, Yellow, Light steel blue
74, -27, 76, -26, 71, -30, Dark red, Green
-64, -99, -58, -86, -66, -99, Navajo white, Red
-4, -59, -11, -55, -13, -50, Dark cyan, Dark olive green
-55, 71, -70, 78, -64, 85, Coral, Tan
-94, 25, -94, 16, -88, 26, White, Teal
-24, 52, -22, 51, -33, 45, Chocolate, Dark red
-21, -24, -10, -21, -6, -21, Light green, Light coral
58, 47, 63, 42, 50, 35, Medium sea green, Light yellow
78, -44, 82, -40, 84, -52, Dark salmon, Red
-31, -8, -31, -2, -32, -2, Lemon chiffon, Pink
-25, -41, -18, -39, -29, -36, Green yellow, Misty rose
100, -6, 90, -9, 84, -10, Black, Blue violet
67, -50, 64, -52, 64, -48, Dark magenta, Medium blue
-55, 82, -62, 80, -52, 86, Olive, Purple
58, 29, 66, 33, 52, 29, Gold, Dark sea green
10, -28, 14, -33, 10, -17, Plum, Dark salmon
-96, -6, -97, -8, -96, -6, Orange, Pale golden rod
46, 12, 41, 6, 41, 9, Moccasin, Deep pink
32, 51, 41, 65, 29, 55, Chocolate, Alice blue
-87, 30, -89, 29, -85, 35, Yellow, Slate gray
60, 81, 62, 70, 65, 71, Yellow, Red
33, -46, 44, -47, 40, -55, Light slate gray, Old lace
-17, 69, -16, 73, -5, 65, Dark cyan, Light sky blue
19, -7, 18, -1, 20, -8, Crimson, Medium blue
-1, -85, -6, -84, -5, -80, Medium slate blue, Powder blue
-90, 100, -94, 96, -94, 98, Purple, Saddle brown
4, -88, 6, -86, 17, -97, Light gray, Ghost white
30, 28, 24, 29, 14, 35, Fuchsia, Light grey
-39, 31, -38, 38, -39, 38, Old lace, Maroon
-26, -40, -28, -37, -28, -54, Light pink, Silver
-91, -40, -99, -36, -100, -30, Firebrick, White smoke
20, -51, 17, -50, 13, -51, Green, Powder blue
96, -59, 92, -62, 92, -68, Sea shell, Gold
-57, -86, -52, -96, -53, -96, Navy, Orange
14, 68, -2, 76, 4, 76, Dark violet, Saddle brown
40, -100, 48, -93, 42, -100, Teal, Misty rose
-23, -20, -21, -7, -30, -15, Pale green, Green
-100, 15, -98, 18, -99, 12, Dark green, Dark cyan
30, 79, 29, 77, 33, 72, Light gray, Orange
-66, 67, -69, 69, -72, 71, Silver, Light slate gray
-96, 52, -93, 60, -99, 65, Burly wood, Dark green
38, -27, 28, -34, 37, -23, Gold, Chart reuse
-9, -7, -11, 1, -4, -3, Lawn green, Pale violet red
48, -74, 39, -60, 51, -64, White smoke, Cadet blue
-91, -100, -82, -99, -87, -94, Floral white, Light golden rod yellow
-80, 68, -87, 71, -97, 69, Deep pink, Thistle
46, -4, 45, -18, 53, -11, Alice blue, Golden rod
-31, 28, -34, 24, -35, 21, Pale turquoise, Medium purple
-81, 4, -81, 15, -76, 7, Olive drab, Medium spring green
41, -33, 45, -42, 50, -36, Brown, Sky blue
-95, 54, -100, 59, -99, 57, Firebrick, Dark magenta
-47, 62, -30, 57, -33, 53, Firebrick, Saddle brown
-27, 14, -39, 16, -38, 15, Fuchsia, Navajo white
14, 61, 10, 47, 20, 63, Light grey, Dim grey
-16, 11, -24, 13, -26, 9, Gray, Silver
76, 46, 74, 47, 82, 43, Sea green, Light blue
27, 51, 34, 44, 31, 46, Bisque, Corn flower blue
-72, 55, -71, 66, -71, 58, Green yellow, Dim gray
35, 3, 49, -1, 45, -7, Firebrick, Medium slate blue
-80, -78, -82, -76, -70, -76, Chart reuse, Sea shell
-36, -26, -35, -28, -32, -28, Spring green, Forest green
26, 71, 34, 70, 32, 80, Slate blue, Antique white
59, 36, 56, 41, 59, 48, Salmon, Yellow
11, 80, 9, 89, 15, 90, Dark turquoise, Navajo white
13, -98, 16, -83, 17, -87, Navy, Rosy brown
23, -92, 21, -93, 19, -75, Orange red, Dark violet
-10, 30, -21, 41, -9, 34, Dark orchid, Lavender blush
73, -83, 82, -77, 78, -68, Olive, Bisque
-11, 36, -8, 34, -8, 40, Lemon chiffon, Navajo white
59, -13, 64, -8, 75, -17, Light grey, Dark red
6, 15, 2, 25, 6, 23, Lime, Orange red
31, -20, 30, -36, 17, -31, White, Alice blue
75, 49, 80, 42, 89, 52, Green yellow, Light sky blue
-25, 42, -19, 40, -7, 45, Dark violet, Medium turquoise
92, -55, 94, -51, 98, -66, Ivory, Hot pink
-80, -77, -78, -72, -77, -71, Light sky blue, Lawn green
-68, 6, -60, -1, -58, -1, Yellow, Medium slate blue
76, 47, 72, 59, 67, 59, Navajo white, Bisque
24, 3, 28, 6, 32, 6, Cadet blue, Peach puff
70, -87, 67, -88, 72, -77, Brown, Honeydew
-54, 41, -49, 41, -48, 38, Pale turquoise, Gray
-48, -35, -57, -51, -49, -40, Dark turquoise, Dark olive green
92, 32, 93, 34, 97, 43, Brown, Ghost white
84, -56, 78, -50, 84, -51, Sandy brown, Alice blue
-62, -86, -62, -91, -52, -98, Pink, Snow
100, 76, 100, 69, 95, 64, Deep pink, Sky blue
-68, 34, -73, 33, -70, 26, White, Black
89, -77, 98, -80, 88, -82, Coral, Beige
-33, -50, -30, -44, -18, -51, Yellow, Salmon
-27, -24, -20, -20, -29, -22, Maroon, Burly wood
-18, 21, -14, 25, -15, 23, Cyan, Dodger blue
-67, -64, -71, -59, -80, -69, Moccasin, Medium blue
-64, 40, -70, 32, -63, 38, Green yellow, Cyan
-35, 43, -42, 35, -37, 26, Light pink, Mint cream
-21, 87, -17, 83, -12, 82, Purple, Dark green
2, 32, -3, 43, -9, 43, Corn flower blue, Dark red
46, 6, 46, 0, 39, 2, Light sky blue, Thistle
-99, -88, -95, -94, -97, -79, Navajo white, Blue
64, 51, 71, 49, 66, 53, Salmon, Lavender
27, 34, 32, 29, 31, 36, Aqua, Black
-63, 23, -71, 24, -68, 11, White smoke, Midnight blue
58, 57, 45, 67, 53, 55, Magenta, Lavender blush
55, 98, 50, 90, 52, 88, Dim grey, Coral
13, 48, 0, 44, 13, 45, Navajo white, Sea shell
97, 60, 92, 67, 96, 60, Slate blue, Dark slate blue
-49, -78, -50, -77, -52, -77, Mint cream, Dim grey
20, 90, 10, 87, 19, 88, Dark golden rod, Sea shell
-6, -27, -12, -27, -1, -31, Dark orchid, Medium spring green
12, 34, 16, 42, 20, 30, Blue, Dark magenta
49, -60, 42, -59, 53, -46, Light pink, Sienna
85, -48, 84, -53, 88, -51, Powder blue, Purple
57, 32, 61, 40, 54, 29, Violet, Blue
-31, -81, -35, -89, -20, -88, Forest green, White
-32, 89, -46, 95, -47, 91, Dark red, Honeydew
-20, 70, -14, 57, -22, 70, Chocolate, Dark red
13, 84, 16, 77, 18, 86, Light pink, Forest green
5, -84, 2, -94, 1, -96, Orchid, Moccasin
61, 14, 71, 21, 73, 20, Dark blue, Olive
-66, -27, -61, -12, -56, -24, Yellow green, Slate gray
41, 5, 44, 2, 41, 12, Teal, Magenta
19, 23, 13, 34, 21, 22, Khaki, Floral white
95, 28, 92, 31, 93, 33, Maroon, Wheat
74, -48, 79, -46, 67, -48, Medium turquoise, Magenta
6, -4, 1, -8, -2, -9, Light salmon, Lemon chiffon
19, 3, 19, -10, 29, -1, Light golden rod yellow, Pale golden rod
8, 99, 15, 88, 6, 89, Rosy brown, Slate gray
98, -19, 99, -24, 97, -29, Peru, Grey
23, 75, 31, 72, 17, 79, Lavender, Honeydew
92, 9, 88, 6, 97, 16, Cadet blue, Light coral
73, 21, 85, 17, 76, 26, Misty rose, Light yellow
-2, 80, -1, 80, -13, 67, Golden rod, Salmon
-75, 26, -75, 14, -83, 17, Light coral, Orange
-10, -93, 7, -92, 2, -90, Moccasin, Teal
-36, -26, -25, -11, -35, -22, Lime green, Green yellow
43, 98, 54, 96, 53, 96, Dark slate blue, Green
60, 85, 62, 96, 55, 87, Dark olive green, Blue
1, -80, -11, -72, -12, -78, Maroon, Sky blue
-38, -29, -39, -39, -42, -32, Purple, Pink
-48, -27, -39, -21, -38, -27, Purple, Dark red
39, -5, 49, 10, 51, 1, Dark slate blue, Lime green
96, 89, 91, 89, 96, 97, Medium purple, Sandy brown
68, 14, 66, 16, 73, 9, Medium blue, Medium turquoise
-37, -48, -32, -60, -39, -48, Lawn green, Blanched almond
-94, 93, -88, 92, -95, 91, White, Alice blue
23, -54, 32, -63, 18, -67, Aqua marine, Beige
-47, -2, -43, -10, -55, -9, Light yellow, Light green
83, 41, 77, 48, 86, 47, Gold, Dark slate blue
91, 20, 91, 33, 91, 26, Olive drab, Red
86, -70, 87, -69, 80, -60, Dark red, Sienna
58, -49, 70, -46, 66, -58, Saddle brown, Blue violet
94, -58, 93, -55, 91, -49, Midnight blue, Brown
40, -91, 40, -89, 37, -81, Chart reuse, Cadet blue
82, 20, 80, 21, 88, 29, Lime green, Lime
94, -92, 99, -99, 96, -99, Dark cyan, Dim gray
-87, -73, -89, -72, -86, -72, Corn silk, Violet
-67, -70, -61, -65, -74, -67, Chocolate, Light slate gray
-67, 28, -64, 28, -58, 22, Green, Grey
-60, 3, -65, 18, -66, 7, Silver, Misty rose
-84, -57, -84, -54, -84, -62, Alice blue, Slate blue
75, 77, 66, 84, 77, 79, Blanched almond, Green yellow
84, 20, 79, 17, 86, 6, Blue violet, Thistle
25, 87, 15, 90, 17, 92, Pale violet red, Brown
-68, 52, -65, 43, -70, 44, Light gray, Gold
-61, 34, -56, 34, -54, 39, Violet, Misty rose
-78, -20, -82, -15, -77, -8, Coral, Bisque
-41, -87, -43, -94, -54, -91, Lemon chiffon, Papaya whip
-81, 38, -70, 38, -65, 38, Light pink, Pale golden rod
31, -45, 32, -48, 47, -47, Green, Light pink
-34, 92, -32, 83, -41, 99, Black, Salmon
29, -12, 18, -17, 27, -8, Olive drab, Dark green
55, 15, 51, 23, 48, 25, Ivory, Corn flower blue
-95, -54, -92, -64, -95, -60, Dark olive green, Light sky blue
-78, 21, -91, 29, -84, 20, Green, Magenta
79, 65, 72, 59, 70, 62, Coral, Lime green
79, -31, 90, -25, 80, -31, Dim grey, Red
-20, -78, -4, -74, -10, -79, Gold, Dark orchid
5, 49, 3, 58, -3, 45, Slate blue, Medium sea green
52, -99, 49, -94, 41, -94, Red, Light golden rod yellow
-25, -3, -15, -9, -21, 1, Rosy brown, Hot pink
22, 53, 13, 50, 25, 51, Dark khaki, Forest green
-4, -24, 8, -27, 14, -24, Magenta, Yellow
70, -92, 59, -100, 64, -99, Deep sky blue, Corn silk
18, -35, 19, -33, 17, -24, Red, Light sea green
-37, -13, -42, -11, -46, -15, Powder blue, Snow
14, 1, 6, 3, 7, 1, Gray, Lime
-100, -87, -87, -95, -86, -97, Medium aqua marine, Sea shell
46, 49, 54, 51, 37, 54, Dark cyan, Light pink
-97, -29, -98, -33, -92, -31, Grey, Magenta
7, 80, -2, 83, -5, 86, Lavender blush, Pale golden rod
21, -91, 15, -98, 28, -85, Chart reuse, Slate blue
-63, -79, -54, -75, -58, -70, Medium violet red, Chart reuse
25, 27, 35, 35, 34, 36, Sandy brown, Medium aqua marine
-17, 99, -14, 98, -6, 100, Ivory, Lime
-20, -53, -27, -55, -33, -54, Aqua marine, Moccasin
-88, -49, -97, -48, -84, -46, Misty rose, Dodger blue
-67, -47, -63, -37, -65, -49, Yellow, Pale violet red
31, -72, 43, -73, 36, -64, Grey, Light slate gray
20, 12, 24, 13, 25, 16, Light golden rod yellow, Corn flower blue
-17, 50, -20, 63, -19, 65, Olive, Dark cyan
1, 63, -9, 63, 0, 63, Dark sea green, Steel blue
-89, -43, -91, -47, -89, -46, Dark orchid, Sea shell
22, 40, 16, 45, 11, 48, Dark orange, Pink
78, -32, 88, -37, 74, -34, Olive, Magenta
-24, -45, -22, -48, -27, -49, Cyan, Spring green
28, -62, 22, -56, 21, -57, Aqua, Honeydew
-75, 84, -81, 89, -83, 78, Medium turquoise, Dim grey
-80, -98, -82, -98, -70, -89, Light yellow, Golden rod
40, -13, 49, 2, 37, -12, Yellow, Crimson
26, -59, 25, -68, 32, -68, Dim grey, Magenta
-42, 94, -39, 99, -42, 94, Orange red, Orange
78, 11, 96, 13, 87, 14, Gray, Deep pink
3, 6, -2, 15, 11, 13, Medium blue, Firebrick
-84, 33, -79, 37, -72, 29, Teal, Orange red
39, -78, 44, -67, 31, -66, Gray, Fuchsia
9, -78, 7, -75, 21, -71, Medium sea green, Snow
-80, 65, -74, 78, -78, 71, Dark golden rod, Dark orange
-27, 26, -20, 22, -26, 27, Golden rod, Light sea green
96, 97, 83, 98, 81, 92, Lime, Deep pink
61, 3, 59, 6, 63, 3, Blanched almond, Khaki
35, -28, 39, -18, 25, -25, Moccasin, Silver
3, 38, 9, 32, 11, 44, Dim gray, Deep pink
-7, -74, -14, -73, -4, -74, Medium spring green, Silver
84, 79, 87, 79, 85, 73, Bisque, Green
21, 6, 35, 6, 27, -6, Navajo white, Crimson
64, -63, 58, -65, 66, -59, Moccasin, Dark golden rod
-59, -12, -65, -17, -69, -27, Dark blue, Pink
-83, 17, -93, 10, -97, 26, Dark orchid, Red
-18, 73, -6, 62, -15, 65, Teal, Light salmon
49, -5, 44, -11, 42, -19, Navy, Dark turquoise
2, 44, 9, 45, -1, 40, Sienna, Sky blue
-30, -35, -21, -35, -28, -40, Dark orchid, Light steel blue
-48, 65, -56, 57, -50, 55, Deep sky blue, Hot pink
14, -79, 0, -79, -1, -80, Chocolate, Fuchsia
78, 23, 71, 24, 86, 21, Orange, Blanched almond
31, -58, 36, -57, 33, -68, Light salmon, Olive
-54, -79, -45, -72, -45, -90, Light salmon, Dark olive green
18, 14, 12, 21, 17, 25, Dark gray, Medium spring green
-90, -80, -99, -77, -88, -83, Papaya whip, Navy
60, -97, 52, -96, 61, -94, Medium orchid, Deep pink
47, 11, 32, 10, 33, 13, Moccasin, Light coral
48, 49, 61, 53, 51, 52, Rosy brown, Peru
-89, -35, -89, -51, -80, -40, Beige, Firebrick
5, 24, 0, 22, 0, 21, Bisque, Medium blue
-27, 51, -33, 61, -28, 47, Chart reuse, Blue
29, -30, 37, -26, 33, -18, Light slate gray, Slate blue
18, 9, 33, 17, 24, 12, Slate gray, Medium violet red
52, 64, 58, 66, 54, 77, Grey, Dark orange
-71, 90, -80, 86, -72, 94, Old lace, Beige
7, -3, 4, 6, 18, -3, Pink, Mint cream
-69, 41, -71, 50, -75, 49, Dark slate blue, Lime
9, -22, 2, -22, 10, -17, Peach puff, Gray
-35, -74, -28, -79, -21, -69, White, Gold
-16, 66, -17, 59, -20, 66, Medium turquoise, Orchid
-85, -47, -79, -41, -77, -53, Gray, Sky blue
98, -65, 93, -69, 92, -75, Tomato, Light sky blue
83, 15, 82, 2, 67, 8, Pale golden rod, Aqua marine
-15, 0, -9, -6, -7, -7, Gray, Slate blue
55, 35, 68, 28, 63, 32, Dark orchid, Gainsboro
-87, -96, -91, -100, -80, -97, Tomato, Dodger blue
-31, -86, -30, -95, -17, -98, Yellow, Orange
-53, 60, -60, 64, -53, 72, Azure, Indian red
15, 83, 25, 88, 13, 87, Chocolate, Tan
-69, 56, -63, 57, -69, 66, Dark blue, Orange red
44, -64, 41, -55, 39, -54, Dark red, Yellow green
-93, 96, -88, 100, -87, 98, Deep pink, Crimson
71, 40, 68, 42, 69, 36, Dark golden rod, Spring green
9, -86, -3, -87, 14, -90, Dark olive green, Teal
-31, -48, -26, -50, -36, -51, Light pink, Light sea green
68, 85, 73, 78, 68, 82, Mint cream, Floral white
-39, 62, -27, 76, -31, 69, Light blue, Sea green
19, 97, 22, 89, 10, 82, Antique white, Teal
71, 7, 73, 11, 70, 5, Fuchsia, Fuchsia
-92, 14, -88, 14, -78, 5, Green yellow, Fuchsia
23, 41, 30, 41, 28, 46, Dark red, Slate gray
19, 0, 28, 6, 10, 5, Light blue, Corn silk
90, 15, 87, 11, 99, 2, Golden rod, Midnight blue
-48, 31, -53, 23, -52, 29, Tomato, Gray
-77, -38, -76, -39, -81, -48, Fuchsia, Lavender
66, 48, 70, 39, 71, 50, Light golden rod yellow, Red
-31, 20, -43, 19, -27, 13, Pale violet red, Moccasin
14, 85, 4, 85, 7, 91, Dark gray, Dim gray
-11, -40, -17, -51, -10, -45, Deep pink, Light yellow
3, 77, 2, 79, -7, 80, Indigo, Alice blue
99, -23, 97, -22, 94, -24, Forest green, Wheat
-62, 74, -76, 71, -74, 75, Blue violet, Yellow green
-92, -58, -97, -61, -93, -60, Yellow, Olive drab
22, -22, 14, -20, 20, -16, Olive drab, Medium slate blue
-22, 22, -30, 26, -35, 25, Light green, Peru
73, 36, 90, 28, 78, 30, Light blue, Purple
-13, -10, -9, -2, -14, -1, Black, Light sea green
80, 95, 79, 98, 66, 90, Royal blue, Snow
-10, -95, -5, -94, -15, -96, Medium turquoise, Slate blue
84, 66, 89, 61, 74, 61, Olive drab, Orchid
-61, -6, -49, 6, -53, -1, Peach puff, Orange
-2, 70, -10, 55, -9, 67, Saddle brown, Sandy brown
-32, 55, -36, 50, -45, 49, Aqua marine, Dark sea green
93, 84, 95, 80, 91, 79, Old lace, Dark sea green
-90, -54, -94, -61, -94, -45, Indian red, Yellow green
14, 30, 11, 31, 0, 41, Sandy brown, Lime
75, 67, 72, 59, 78, 66, Dark red, Yellow green
-46, -25, -52, -20, -56, -24, Navy, Lime
-66, -96, -55, -85, -55, -99, Yellow green, Khaki
13, -38, 16, -41, 11, -38, Misty rose, Tan
-5, -24, -8, -21, -9, -31, Dark red, Light green
-89, 93, -83, 94, -79, 92, Dark red, Coral
-81, -1, -63, -7, -70, -2, Orchid, Magenta
-27, 15, -21, 25, -21, 20, Dark slate gray, Lemon chiffon
-47, 49, -44, 46, -49, 49, Light green, Pale golden rod
-50, 30, -48, 30, -42, 30, Dark turquoise, Olive
-49, 95, -52, 90, -47, 96, Pale turquoise, Lavender
47, 1, 37, 1, 43, -6, Magenta, Peru
39, 81, 35, 74, 45, 78, Hot pink, Lime green
-80, 1, -74, 7, -87, 16, Navajo white, Maroon
41, -23, 37, -17, 27, -30, Olive, Dark golden rod